id,municipal,province
1,Abuyog,Leyte
2,Alangalang,Leyte
3,Albuera,Leyte
4,Allen,Northern Samar
5,Almagro,Samar
6,Almeria,Biliran
7,Anahawan,Southern Leyte
8,Arteche,Eastern Samar
9,Babatngon,Leyte
10,Balangiga,Eastern Samar
11,Balangkayan,Eastern Samar
12,Barugo,Leyte
13,Basey,Samar
14,Bato,Leyte
15,BIliran,Biliran
16,Biri,Northern Samar
17,Bobon,Northern Samar
18,Bontoc,Southern Leyte
19,Burauen,Leyte
20,Cabucgayan,Biliran
21,Caibiran,Biliran
22,Calbayog City,Samar
23,Calbiga,Samar
24,Calubian,Leyte
25,Can-Avid,Eastern Samar
26,Capoocan,Leyte
27,Capul,Northern Samar
28,Carigara,Leyte
29,Catarman,Northern Samar
30,Catubig,Northern Samar
31,City of Baybay,Leyte
32,City of Borongan,Eastern Samar
33,City of Catbalogan,Samar
34,City of Maasin,Southern Leyte
35,Culaba,Biliran
36,Dagami,Leyte
37,Daram,Samar
38,Dolores,Eastern Samar
39,Dulag,Leyte
40,Gamay,Northern Samar
41,Gandara,Samar
42,General MacArthur,Eastern Samar
43,Giporlos,Eastern Samar
44,Guiuan,Eastern Samar
45,Hernani,Eastern Samar
46,Hilongos,Leyte
47,Hinabangan,Samar
48,Hindang,Leyte
49,Hinunangan,Southern Leyte
50,Hinundayan,Southern Leyte
51,Inopacan,Leyte
52,Isabel,Leyte
53,Jaro,Leyte
54,Javier,Leyte
55,Jiabong,Samar
56,Jipapad,Eastern Samar
57,Julita,Leyte
58,Kananga,Leyte
59,Kawayan,Biliran
60,La Paz,Leyte
61,Laoang,Northern Samar
62,Lapinig,Northern Samar
63,Las Navas,Northern Samar
64,Lavezares,Northern Samar
65,Lawaan,Eastern Samar
66,Leyte,Leyte
67,Libagon,Southern Leyte
68,Liloan,Southern Leyte
69,Limasawa,Southern Leyte
70,Llorente,Eastern Samar
71,Lope de Vega,Northern Samar
72,Macarthur,Leyte
73,Macrohon,Southern Leyte
74,Mahaplag,Leyte
75,Malitbog,Southern Leyte
76,Mapanas,Northern Samar
77,Marabut,Samar
78,Maripipi,Biliran
79,Maslog,Eastern Samar
80,Matag-ob,Leyte
81,Matalom,Leyte
82,Matuguinao,Samar
83,Maydolong,Eastern Samar
84,Mayorga,Leyte
85,Mercedes,Eastern Samar
86,Merida,Leyta
87,Mondragon,Northern Samar
88,Motiong,Northern Samar
89,Naval,Biliran
90,Oras,Eastern Samar
91,Ormoc City,Leyte
92,Padre Burgos,Southern Leyte
93,Pagsanghan,Samar
94,Palapag,Northern Samar
95,Palo,Leyte
96,Palompon,Leyte
97,Pambujan,Northern Samar
98,Paranas,Samar
99,Pastrana,Leyte
100,Pinabacdao,Samar
101,Pintuyan,Southern Leyte
102,Quinapondan,Eastern Samar
103,Rosario,Northern Samar
104,Saint Bernard,Southern Leyte
105,Salcedo,Eastern Samar
106,San Antonio,Northern Samar
107,San Francisco,Southern Leyte
108,San Isidro,Leyte
109,San Isidro,Northern Samar
110,San Jorge,Samar
111,San Jose,Northern Samar
112,San Jose de Buan,Samar
113,San Juan,Southern Leyte
114,San Julian,Eastern Samar
115,San Miguel,Leyte
116,San Policarpio,Eastern Samar
117,San Ricardo,Southern Leyte
118,San Roque,Northen Samar
119,San Sebastian,Samar
120,San Vicente,Northern Samar
121,Santa Fe,Leyte
122,Santa Margarita,Samar
123,Santa Rita,Samar
124,Santo Nino,Samar
125,Silago,Southern Leyte
126,Silvino Lobos,Nothern Samar
127,Sogod,Southern Leyte
128,Sulat,Eastern Samar
129,Tabango,Leyte
130,Tabontabon,Leyte
131,Tacloban City,Leyte
132,Taft,Eastern Samar
133,Tagapul-An,Samar
134,Talalora,Samar
135,Tanauan,Leyte
136,Tarangnan,Samar
137,Tolosa,Leyte
138,Tomas Oppus,Southern Leyte
139,Tunga,Leyte
140,Victoria,Northern Samar
141,Villaba,Leyte
142,Villareal,Samar
143,Zumarraga,Samar