id,rtc,city,province
1,Cebu Doctors University Hospital,Cebu City,Cebu
2,Chong Hua Hospital,Cebu City,Cebu
3,Perpetual Succour Hospital,Cebu City,Cebu
4,Asian Hospital and Medical Center,Muntinlupa,Metro Manila
5,Cardinal Santos Medical Center,San Juan,Metro Manila
6,Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila
7,Chinese General Hospital and Medical Center,Manila,Metro Manila
8,Jose R. Reyes Memorial Medical Center,Manila,Metro Manila
9,Lung Center of the Philippines,Quezon City,Metro Manila
10,Makati Medical Center,Makati,Metro Manila
11,Manila Doctors Hospital,Manila,Metro Manila
12,Manila Med,Manila,Metro Manila
13,Metropolitan Medical Center,Manila,Metro Manila
14,Philippine General Hospital,Manila,Metro Manila
15,Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila
16,Quirino Memorial Medical Center,Quezon City,Metro Manila
17,Rizal Medical Center,Pasig,Metro Manila
18,San Juan De Dios Hospital,Pasay,Metro Manila
19,St. Luke's Medical Center - Global City,Taguig,Metro Manila
20,St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila
21,The Medical City,Pasig,Metro Manila
22,University of Perpetual Help Delta,Las Pinas,Metro Manila
23,University of Santo Tomas,Manila,Metro Manila
24,Urology Center of the Philippines Inc.,Quezon City,Metro Manila